PALABRA,ROOT,CATEGORÍA,TIPO
a,a,S,P
ante,ante,S,P
bajo,bajo,S,P
cabe,cabe,S,P
como,como,S,P
con,con,S,P
contra,contra,S,P
de,de,S,P
desde,desde,S,P
durante,durante,S,P
en,en,S,P
entre,entre,S,P
excepto,excepto,S,P
hacia,hacia,S,P
hasta,hasta,S,P
mediante,mediante,S,P
menos,menos,S,P
para,para,S,P
por,por,S,P
pro,pro,S,P
salvo,salvo,S,P
según,según,S,P
sin,sin,S,P
so,so,S,P
sobre,sobre,S,P
tras,tras,S,P
versus,versus,S,P
vía,vía,S,P
ápud,ápud,S,P
